转债代码,低点日期,反弹日期,时长,击穿次数,最大收益
113026.SH,2021-11-08 09:45:00,2021-11-08 10:00:00,0 days 00:15:00,2,2.411679303113412
113026.SH,2021-11-10 11:00:00,2021-11-10 13:45:00,0 days 02:45:00,2,1.4433811802232688
113026.SH,2021-11-17 10:00:00,2021-11-18 13:30:00,1 days 03:30:00,2,1.4146419437340185
113026.SH,2021-11-24 09:45:00,2021-11-24 11:00:00,0 days 01:15:00,2,0.9246309246309314
113026.SH,2021-11-29 09:45:00,2021-11-29 10:00:00,0 days 00:15:00,2,1.3509267986176576
113027.SH,2021-08-25 09:45:00,2021-08-25 10:00:00,0 days 00:15:00,2,3.967567567567576
113027.SH,2021-08-27 15:00:00,2021-08-30 09:45:00,2 days 18:45:00,2,6.420978794582632
113027.SH,2021-08-31 10:15:00,2021-08-31 10:30:00,0 days 00:15:00,2,4.970008568980289
113027.SH,2021-09-02 10:30:00,2021-09-02 11:30:00,0 days 01:00:00,3,14.19249592169658
113027.SH,2021-09-06 10:30:00,2021-09-06 15:00:00,0 days 04:30:00,2,5.592397620838163
113027.SH,2021-09-22 09:45:00,2021-09-22 10:15:00,0 days 00:30:00,6,11.075110456553737
113027.SH,2021-09-27 10:30:00,2021-09-28 10:15:00,0 days 23:45:00,4,4.591836734693877
113027.SH,2021-09-29 11:15:00,2021-09-29 13:15:00,0 days 02:00:00,3,2.485380116959046
113027.SH,2021-09-29 14:30:00,2021-09-29 14:45:00,0 days 00:15:00,2,0.8052708638360162
113027.SH,2021-10-12 10:45:00,2021-10-12 11:00:00,0 days 00:15:00,2,2.921282798833813
113027.SH,2021-10-13 11:30:00,2021-10-13 13:45:00,0 days 02:15:00,2,7.163963490708514
113027.SH,2021-10-25 09:45:00,2021-10-26 10:00:00,1 days 00:15:00,3,11.739696907357855
113027.SH,2021-11-02 13:15:00,2021-11-03 13:45:00,1 days 00:30:00,3,8.821313608656943
113027.SH,2021-11-08 09:45:00,2021-11-09 09:45:00,1 days 00:00:00,2,4.870719776380161
113027.SH,2021-11-18 10:15:00,2021-11-18 13:15:00,0 days 03:00:00,2,4.708227369578655
113027.SH,2021-11-29 09:45:00,2021-11-29 10:00:00,0 days 00:15:00,2,3.702702702702698
113034.SH,2021-09-27 13:15:00,2021-09-28 09:45:00,0 days 20:30:00,2,9.611484471308707
113034.SH,2021-10-13 11:30:00,2021-10-19 11:00:00,5 days 23:30:00,5,13.058630586305853
113034.SH,2021-10-25 09:45:00,2021-10-26 10:15:00,1 days 00:30:00,2,4.0536585365853695
113034.SH,2021-10-28 14:45:00,2021-10-29 09:45:00,0 days 19:00:00,3,5.271317829457356
113034.SH,2021-10-29 10:30:00,2021-10-29 10:45:00,0 days 00:15:00,2,2.6151995397248884
113034.SH,2021-11-02 10:00:00,2021-11-02 10:15:00,0 days 00:15:00,2,2.6607055231448573
113034.SH,2021-11-03 10:15:00,2021-11-03 10:45:00,0 days 00:30:00,2,3.3890489913544597
113034.SH,2021-11-05 15:00:00,2021-11-08 09:45:00,2 days 18:45:00,2,3.989485981308416
113034.SH,2021-11-15 10:15:00,2021-11-15 10:30:00,0 days 00:15:00,2,2.086034842419804
113034.SH,2021-11-16 14:00:00,2021-11-17 10:15:00,0 days 20:15:00,2,2.262443438914019
113034.SH,2021-11-18 09:45:00,2021-11-18 09:45:00,0 days 00:00:00,2,4.112554112554112
113034.SH,2021-11-18 10:45:00,2021-11-18 13:15:00,0 days 02:30:00,2,1.6090323988218636
113034.SH,2021-11-29 09:45:00,2021-11-29 10:15:00,0 days 00:30:00,2,3.6831483350151517
113046.SH,2021-12-02 10:45:00,2021-12-02 14:45:00,0 days 04:00:00,2,2.3767178658043564
113047.SH,2021-09-06 10:30:00,2021-09-06 11:30:00,0 days 01:00:00,2,3.0691859372062424
113047.SH,2021-09-08 14:15:00,2021-09-08 15:00:00,0 days 00:45:00,2,1.8688524590164013
113047.SH,2021-09-09 11:15:00,2021-09-09 11:30:00,0 days 00:15:00,2,2.5983594479100036
113047.SH,2021-09-10 11:30:00,2021-09-10 13:45:00,0 days 02:15:00,2,1.56462585034014
113047.SH,2021-09-14 10:15:00,2021-09-14 10:30:00,0 days 00:15:00,2,3.2279897953870984
113047.SH,2021-09-22 09:45:00,2021-09-23 09:45:00,1 days 00:00:00,7,8.536585365853666
113047.SH,2021-09-29 15:00:00,2021-10-11 13:30:00,11 days 22:30:00,3,7.278656674993078
113047.SH,2021-10-14 13:15:00,2021-10-14 13:30:00,0 days 00:15:00,2,1.6367216342604074
113047.SH,2021-10-15 10:00:00,2021-10-15 10:00:00,0 days 00:00:00,2,1.259617771159105
113047.SH,2021-12-02 13:15:00,2021-12-02 13:15:00,0 days 00:00:00,2,1.7071088891598585
113048.SH,2021-09-06 10:00:00,2021-09-06 14:45:00,0 days 04:45:00,3,8.121284185493472
113048.SH,2021-09-14 10:00:00,2021-09-14 13:15:00,0 days 03:15:00,4,7.365209811978568
113048.SH,2021-09-14 14:15:00,2021-09-14 14:45:00,0 days 00:30:00,2,1.7341040462427681
113048.SH,2021-09-15 09:45:00,2021-09-15 09:45:00,0 days 00:00:00,2,3.5453474676089503
113048.SH,2021-09-15 10:00:00,2021-09-15 10:00:00,0 days 00:00:00,2,1.999064765022207
113048.SH,2021-09-17 09:45:00,2021-09-17 10:00:00,0 days 00:15:00,4,7.475490196078449
113048.SH,2021-09-17 10:15:00,2021-09-17 10:30:00,0 days 00:15:00,2,3.5187826913932296
113048.SH,2021-09-17 11:30:00,2021-09-17 13:15:00,0 days 01:45:00,2,1.7703927492447091
113048.SH,2021-09-23 10:00:00,2021-09-23 10:15:00,0 days 00:15:00,2,1.8125501892853002
113048.SH,2021-09-24 09:45:00,2021-09-24 10:00:00,0 days 00:15:00,2,2.503967554223241
113048.SH,2021-09-27 10:00:00,2021-09-27 10:00:00,0 days 00:00:00,2,1.6676317313260025
113048.SH,2021-09-27 13:15:00,2021-09-27 13:45:00,0 days 00:30:00,3,2.421277896667684
113048.SH,2021-09-29 09:45:00,2021-09-29 10:00:00,0 days 00:15:00,2,3.7371794871794872
113048.SH,2021-09-29 14:15:00,2021-09-30 09:45:00,0 days 19:30:00,4,4.331114009197612
113048.SH,2021-09-30 11:00:00,2021-09-30 11:30:00,0 days 00:30:00,2,2.3635872501350574
113048.SH,2021-10-13 10:15:00,2021-10-14 10:15:00,1 days 00:00:00,6,7.166023166023172
113048.SH,2021-10-15 10:30:00,2021-10-15 10:45:00,0 days 00:15:00,2,2.645308251892131
113048.SH,2021-10-21 09:45:00,2021-10-21 10:00:00,0 days 00:15:00,2,2.424995097718785
113048.SH,2021-10-26 13:45:00,2021-10-26 14:00:00,0 days 00:15:00,2,1.4319035894777787
113048.SH,2021-10-28 10:00:00,2021-10-28 10:00:00,0 days 00:00:00,2,4.340567612687818
113048.SH,2021-10-28 10:15:00,2021-10-28 10:15:00,0 days 00:00:00,2,3.690058827024778
113048.SH,2021-10-29 10:00:00,2021-10-29 13:15:00,0 days 03:15:00,2,2.355539197644463
113048.SH,2021-11-01 10:45:00,2021-11-01 11:30:00,0 days 00:45:00,2,2.148586148351961
113048.SH,2021-11-02 10:00:00,2021-11-02 10:45:00,0 days 00:45:00,2,2.4736713201077842
113048.SH,2021-11-03 09:45:00,2021-11-03 10:00:00,0 days 00:15:00,2,1.8310211223596884
113048.SH,2021-11-08 09:45:00,2021-11-08 10:15:00,0 days 00:30:00,2,3.516192994051548
113048.SH,2021-11-09 09:45:00,2021-11-09 09:45:00,0 days 00:00:00,3,8.426635238656456
113048.SH,2021-11-09 10:00:00,2021-11-09 10:00:00,0 days 00:00:00,2,1.854190585533888
113048.SH,2021-11-10 13:30:00,2021-11-10 14:15:00,0 days 00:45:00,4,4.0443037974683405
113048.SH,2021-11-11 13:30:00,2021-11-11 14:45:00,0 days 01:15:00,2,1.977487070276851
113048.SH,2021-11-15 11:15:00,2021-11-15 14:00:00,0 days 02:45:00,2,1.963414634146332
113048.SH,2021-11-22 09:45:00,2021-11-22 09:45:00,0 days 00:00:00,2,3.213035745022652
113048.SH,2021-11-25 10:30:00,2021-11-26 10:00:00,0 days 23:30:00,3,2.971373354269824
113051.SH,2021-09-24 09:45:00,2021-09-24 10:00:00,0 days 00:15:00,2,4.229843561973534
